Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,countryCODE
-4.928916667,-4.4015,-4.433666667,-4.314333333,-4.941166667,-4.2315,-2.553916667,-3.186333333,-4.522333333,-4.076166667,-4.766875,-4.581041667,-5.414083333,-4.207583333,-3.754791667,-5.312,-4.768333333,-5.021458333,-3.483166667,-4.546958333,-4.204958333,CAN
25.09208333,25.74875,25.68275,25.63183333,25.71725,26.04266667,26.20433333,25.46941667,25.33358333,25.759125,25.404,25.51258333,25.22220833,25.64991667,25.45779167,25.52095833,25.349,25.56858333,25.352875,25.16754167,25.41716667,CAF
26.91966667,27.61241667,27.26108333,27.46183333,27.7835,27.79741667,27.89583333,27.77983333,27.14783333,27.510875,27.26233333,27.21545833,27.10558333,27.47845833,27.38208333,27.18166667,27.15441667,27.54816667,27.36958333,27.14804167,27.10925,TCD
9.73775,9.944583333,10.05433333,9.784916667,9.758,10.337,10.29241667,9.829583333,9.434541667,9.647833333,9.462083333,9.537583333,9.798958333,9.604375,9.692208333,9.179833333,9.664166667,9.512541667,9.3095,9.573875,9.824666667,CHL
25.53358333,25.20641667,25.16241667,25.49283333,25.14991667,25.58,25.87916667,24.87066667,24.95158333,24.98554167,25.11675,25.15325,24.86854167,25.13008333,25.00516667,24.84975,24.68029167,24.864875,24.88695833,24.82291667,25.02691667,COL
24.54983333,24.67983333,24.84291667,25.09691667,24.668,25.0605,25.5405,24.8125,24.53691667,24.70425,24.64229167,24.615375,24.25304167,24.681,24.62016667,24.63270833,24.63175,24.66616667,24.76025,24.30329167,24.76733333,COD
26.36175,26.31933333,26.42583333,26.29283333,25.9625,26.80625,26.97408333,25.86441667,25.74420833,25.50216667,25.78575,25.97795833,25.72816667,25.8055,25.89845833,25.75820833,25.56625,25.85979167,25.431125,25.80108333,26.01604167,CRI
12.54908333,11.93158333,13.11,11.88175,11.12575,11.82741667,12.10091667,12.3165,12.52666667,11.622875,11.887125,11.96566667,11.77975,11.1675,11.58925,12.05925,11.754125,11.85008333,11.73266667,12.16454167,11.814,HRV
25.85958333,25.87441667,26.26466667,26.1275,25.80133333,26.63825,26.40708333,25.7975,25.5645,25.30604167,25.7325,25.76991667,25.595625,25.73925,25.58966667,25.75829167,25.64083333,25.51008333,25.09158333,25.77866667,25.790875,CUB
18.04925,18.949,19.802,19.079,19.47558333,18.87625,19.96408333,20.07375,19.23129167,19.72804167,19.371125,19.10729167,18.99579167,19.004875,19.02383333,18.924,19.02429167,19.62754167,19.59358333,18.80670833,19.24570833,CYP
-19.00041667,-18.71616667,-18.08541667,-17.69783333,-16.80566667,-17.45533333,-16.62091667,-17.69908333,-17.29595833,-17.53475,-17.34525,-17.17345833,-17.82029167,-16.90354167,-17.91316667,-17.8135,-17.31025,-17.59954167,-17.28966667,-17.63433333,-16.92604167,DNK
28.999,28.74083333,29.06233333,29.25975,29.16525,29.26933333,29.7805,29.3715,29.20191667,28.99516667,29.027375,29.04075,29.063875,29.17725,29.10491667,28.97125,28.76429167,29.16575,29.36516667,29.29429167,29.11345833,DJI
26.619,26.64791667,26.6245,26.97433333,26.6325,26.95716667,27.268,26.81325,26.23816667,26.50820833,26.507125,26.50925,26.213625,26.59891667,26.494375,26.40883333,26.199375,26.27495833,26.51995833,26.39075,26.48079167,DMA
25.94133333,25.9165,26.28058333,26.35775,25.87075,26.69725,26.67633333,26.17283333,25.82025,25.94770833,25.9665,26.05316667,25.684875,26.04254167,25.97933333,25.89779167,25.75329167,25.77745833,25.725,25.785125,25.916,DOM
22.6115,22.42158333,22.21708333,22.57416667,22.0325,23.08291667,23.121,21.90216667,21.96629167,21.86304167,22.17095833,22.10145833,21.923125,22.121875,22.11933333,21.79308333,21.694125,21.88425,21.78529167,21.88733333,22.07775,ECU
